MAE,MSE,MEDIAN,PZ,best_model_path,model_name,spearman_correlation
12.540384735391534,210.17181027124624,11.750566539764403,GLOBAL,,lociparse_pretrained,0.015416816134461397
28.693967832418586,856.216738138096,27.844893531799315,7,,lociparse_pretrained,-0.5210449927431059
15.46011136649637,263.60047501114065,14.955983390808104,37,,lociparse_pretrained,-0.1174125464139144
15.50925322887944,281.3037595130985,16.19488998413086,35,,lociparse_pretrained,-0.5909502262443438
12.356587066650391,174.14900600638092,11.498455276489256,8,,lociparse_pretrained,-0.6400615833400859
23.419554704666137,564.1927338458569,24.234691352844237,22,,lociparse_pretrained,-0.14736842105263157
14.586769967349069,257.092823489545,13.355600719451903,32,,lociparse_pretrained,-0.03387157719726932
9.255739622677073,108.4433160676561,8.254475803375243,9,,lociparse_pretrained,-0.8530175706646294
13.835635413354444,233.25372270602918,14.286587715148926,18,,lociparse_pretrained,-0.35735690362871747
5.057912573915846,40.33242425677076,3.821834373474121,25,,lociparse_pretrained,-0.7169287696577243
13.480010625697947,236.01212483741003,12.363705406188965,15,,lociparse_pretrained,-0.8388412426148274
5.476812918186187,50.087142261407706,3.9873905277252195,28,,lociparse_pretrained,-0.7562865779149786
12.651389082831304,170.65525789051557,12.482531089782714,38,,lociparse_pretrained,0.13682339874120694
14.663471023675168,247.8427536529021,16.351177368164063,36,,lociparse_pretrained,-0.6891711229946524
10.139438144231248,130.5992604388514,11.41249050140381,21,,lociparse_pretrained,0.39807130333138524
12.566618914523367,170.11091723814803,12.95793327331543,19,,lociparse_pretrained,-0.23424897720631213
11.559917072841097,136.6550905436495,11.364430122375488,23,,lociparse_pretrained,-0.2801120448179272
11.924716052114963,152.38971883383448,12.264837760925293,14Bound,,lociparse_pretrained,-0.2649725274725274
6.875497373898824,59.422228189029155,6.929820852279663,20,,lociparse_pretrained,-0.4242491657397108
7.684262125227186,69.17503982587229,6.971192798614502,29,,lociparse_pretrained,-0.4568854568854569
3.6836684595743807,16.597843508263644,3.390364112854004,4,,lociparse_pretrained,-0.421579532814238
4.540239946047465,21.876558165795007,4.707455863952637,1,,lociparse_pretrained,-0.8857142857142858
2.0571398131052647,4.247762970614424,1.9679132556915282,2,,lociparse_pretrained,0.5
12.542851528560414,210.22727206008713,11.750566539764403,GLOBAL,,lociparse_selftrained,0.05178457052698264
28.68454475549551,855.6923148882496,27.854893531799316,7,,lociparse_selftrained,-0.41611884231196106
15.459640778261072,263.640624059634,14.965983390808104,37,,lociparse_selftrained,-0.24956028923197185
15.525135581820617,281.8243129170427,16.17488998413086,35,,lociparse_selftrained,-0.6376470588235295
12.339682304745631,173.7478817143978,11.473455276489258,8,,lociparse_selftrained,-0.5386111336196419
23.400554704666135,563.1901904145749,24.259691352844236,22,,lociparse_selftrained,-0.05263157894736842
14.58035487300945,256.7870476100881,13.325600719451902,32,,lociparse_selftrained,0.15972491624052193
9.242798446206487,108.14860784342683,8.234475803375243,9,,lociparse_selftrained,-0.8035141329258976
13.830796703677025,233.12496203900966,14.281587715148927,18,,lociparse_selftrained,-0.34627685024300575
5.05897640370308,40.32882139720065,3.891834373474121,25,,lociparse_selftrained,-0.642345050878816
13.513714329401656,236.78527883136982,12.383705406188966,15,,lociparse_selftrained,-0.7454545454545454
5.483479584852854,50.15867982654101,3.9873905277252195,28,,lociparse_selftrained,-0.7550967907904047
12.648416109858333,170.64254865706144,12.500429782867432,38,,lociparse_selftrained,-0.17497223250647906
14.682258902463046,248.36922137877147,16.351177368164063,36,,lociparse_selftrained,-0.7352941176470589
10.143844923892262,130.785567389566,11.382490501403808,21,,lociparse_selftrained,0.21437755698421979
12.596957897574216,170.97460535237252,13.04793327331543,19,,lociparse_selftrained,-0.38743424897720635
11.578202787126814,137.15746170209678,11.414430122375489,23,,lociparse_selftrained,-0.4092436974789916
11.932684802114963,152.5329621383255,12.284475479125977,14Bound,,lociparse_selftrained,-0.22646520146520147
6.8954973738988246,59.671061425342025,7.02589677810669,20,,lociparse_selftrained,-0.4255839822024471
7.672317680782742,68.99596517225739,6.98608289718628,29,,lociparse_selftrained,-0.4808236808236809
3.6436684595743825,16.319018657621758,3.360364112854004,4,,lociparse_selftrained,-0.4411568409343715
4.521906612714131,21.615087707732517,4.682455863952637,1,,lociparse_selftrained,-0.6
2.063806479771932,4.291017970538131,1.9379132556915284,2,,lociparse_selftrained,-1.0
